"","GlobalID","decimalLatitude","decimalLongitude","p_wg_a.Low","p_wg_b.Med","p_wg_c.High","p_st_a.Low","p_st_b.Med","p_st_c.High","p_sw_a.Low","p_sw_b.Med","p_sw_c.High","p_noFood"
"1","{009C2608-12D1-443B-BE17-1685E78ACE8C}",35.7337468,-119.6160087,0,0,0,0.0298507462686567,0.0995024875621891,0.845771144278607,0,0,0,0.0248756218905473
"2","{011BE181-1EDA-4337-A0E6-6BC62E7E1FB4}",35.7370709,-119.6188521,0,0,0,0.7,0,0,0,0,0,0.3
"3","{018CD585-359E-4528-9C38-73695A370AC1}",35.72964992,-119.6145244,0,0,0,0,0,0,0,0,0,1
"4","{0D0F0111-E70C-49DA-938F-5F21DE7FB2C2}",35.74403462,-119.6069511,0,0,0,0.0975609756097561,0.292682926829268,0.585365853658537,0,0,0,0.024390243902439
"5","{12100DD8-A62B-4991-81B3-C4B28F850A33}",35.72599034,-119.609375,0,0,0,0.0099009900990099,0.198019801980198,0.742574257425743,0,0,0,0.0495049504950495
"6","{14627BC1-332F-49F0-B632-B5B1D772779A}",35.73876552,-119.621433,0,0,0,0.5,0.2,0,0,0,0,0.3
"7","{1CDAD6CB-6869-4C49-B194-890E823EC981}",35.72874653,-119.6112473,0,0,0,0,0,0,0,0,0,1
"8","{1DCBF646-1E0B-4022-A7A0-E601DC9399D6}",35.72726637,-119.6162831,0,0,0,0,0,0.8,0,0,0,0.2
"9","{1F234739-C011-4636-A059-D2D7428AA4EF}",35.73359792,-119.6203253,0,0,0,0.693069306930693,0.0099009900990099,0,0,0,0,0.297029702970297
"10","{236E1BD6-2DD4-48B2-8006-4C0A83FFC4C1}",35.720162,-119.6136003,0.029126213592233,0,0,0.0485436893203883,0.194174757281553,0.679611650485437,0,0,0,0.0485436893203883
"11","{23FC7807-DD87-4E5D-8B83-B26FDE90551A}",35.72415625,-119.6114419,0,0,0,0.0625,0.4375,0,0,0,0,0.5
"12","{2976EC13-4BA5-4D20-9FED-16AB104A5E9C}",35.74144709,-119.6206564,0,0,0,0.25,0,0,0,0,0,0.75
"13","{29BC8164-5903-4A20-9C67-6B2281BE3C25}",35.73573944,-119.6195716,0,0,0,0.484375,0.09375,0,0,0,0,0.421875
"14","{2EBFAEAE-B810-4346-B2F5-6834E54B89C0}",35.75117651,-119.6109589,0,0,0,0.9,0,0,0,0,0,0.1
"15","{30C6E9B5-E837-4E89-81E9-F2A52879C002}",35.72031113,-119.6188981,0,0.3,0,0.05,0,0,0,0,0,0.65
"16","{30D32445-513D-40CF-9490-D1838EC216C9}",35.72189398,-119.6175051,0,0.2,0.35,0,0.05,0,0,0,0,0.4
"17","{3294F32E-CCA0-4ABD-98F2-302112180C14}",35.7496498,-119.61434,0,0,0,1,0,0,0,0,0,0
"18","{34C89633-F343-4D9B-ACA8-672A7D2F590A}",35.7477306,-119.6038094,0,0,0,0.4,0.1,0,0,0,0,0.5
"19","{35D08ADB-B77F-4B22-A908-1D0717F39F80}",35.7293519,-119.6135424,0,0,0,0,0,0,0,0,0,1
"20","{37083D91-B3AD-47DB-9DC7-897554AAA896}",35.73837439,-119.617139,0,0,0,0.45,0.1,0,0,0,0,0.45
"21","{3CBF0FCD-D58A-4A0B-9F29-0B957EF3E1A4}",35.7503558,-119.6010447,0,0,0,0.75,0,0,0,0,0,0.25
"22","{41108219-84FC-41EA-9AD8-5513488A3064}",35.74904322,-119.6024271,0,0,0,0.5,0.1,0,0,0,0,0.4
"23","{4466EFA4-E101-4BD1-83FC-D4577A14956A}",35.75149323,-119.6126036,0,0,0,0.3,0.1,0,0,0,0,0.6
"24","{469D76B2-9354-4110-8994-BC37EA62D662}",35.74331858,-119.619914,0,0,0,0,0,0,0,0,0,1
"25","{473517B1-B202-4690-BE38-372DC156C788}",35.74046924,-119.6147291,0,0,0,0.05,0.5,0.1,0,0,0,0.35
"26","{49BDBC49-E226-42F8-901D-5F98EAEDC6B8}",35.75009646,-119.6110047,0,0,0,0.6,0,0,0,0,0,0.4
"27","{4AD8536E-F9B6-4AD1-A172-F8823D3392DF}",35.7374244,-119.6122055,0,0,0,0,0.6,0,0,0,0,0.4
"28","{4FA8C2A5-7B29-4621-8369-33120DE1BEDB}",35.74390518,-119.6215472,0,0,0,0.4,0,0,0,0,0,0.6
"29","{52B69568-C824-41FC-A7BD-D85EA62865F9}",35.7353016,-119.6136218,0,0,0,0.989583333333333,0,0,0,0,0,0.0104166666666667
"30","{534B2C6B-DF62-4636-A3A2-949A833BAC60}",35.74812223,-119.6081039,0,0,0,0.1,0.8,0.1,0,0,0,0
"31","{55599ADA-81A6-402A-BC9C-28792E99B505}",35.74750738,-119.605477,0,0,0,0,0,0,0,0,0,1
"32","{5963B467-303E-4535-9042-895963CCFCFC}",35.73162394,-119.6174248,0,0,0,0.15,0,0.5,0,0,0,0.35
"33","{5A1CB6EC-1772-409A-BDCF-CBEFF9D8CAFA}",35.7456462,-119.6161678,0,0,0,0.05,0.8,0,0,0,0,0.15
"34","{5FC5D8B5-1845-4EE9-8C0A-8CC7CEB152EA}",35.74090704,-119.6206793,0,0,0,0,0,0,0,0,0,1
"35","{647F67F6-2B87-46CF-9354-62CC54CD7F4E}",35.73105594,-119.6164542,0,0,0,0.1,0,0.6,0,0,0,0.3
"36","{64F9128E-8B5C-4B49-8842-58DF2810B4D0}",35.73605602,-119.6212161,0,0,0,0.45,0,0,0,0,0,0.55
