GlobalID,recordedBy,eventDate,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,quadratSize,managementAction,taxonID,vernacularName,stratum,plantHeight,nSeedHeads,eventRemarks,GlobalID_seedhead,measurementType,measurementValue
{0038B8D5-BD48-48A2-9BD6-EC3B75339403},,07/28/2021 17:13,35.73102188,-119.6164627,KRN,4A-3,,15x15cm,mowed,41605,SwampTimothy,medium,8,33,,{00C4D399-2309-4F36-83BE-D6F5F5EDA7BF},sh_length,8
{0038B8D5-BD48-48A2-9BD6-EC3B75339403},,07/28/2021 17:13,35.73102188,-119.6164627,KRN,4A-3,,15x15cm,mowed,41605,SwampTimothy,medium,8,33,,{73CB0786-D546-4F9F-B475-D2F457C2D8FD},sh_length,12
{0038B8D5-BD48-48A2-9BD6-EC3B75339403},,07/28/2021 17:13,35.73102188,-119.6164627,KRN,4A-3,,15x15cm,mowed,41605,SwampTimothy,medium,8,33,,{780A18A8-2CFB-4CEA-BC63-70B698FACEBB},sh_length,10
{0038B8D5-BD48-48A2-9BD6-EC3B75339403},,07/28/2021 17:13,35.73102188,-119.6164627,KRN,4A-3,,15x15cm,mowed,41605,SwampTimothy,medium,8,33,,{99CBFC25-0566-4E86-8970-4CE1EEA6B031},sh_length,12
{0038B8D5-BD48-48A2-9BD6-EC3B75339403},,07/28/2021 17:13,35.73102188,-119.6164627,KRN,4A-3,,15x15cm,mowed,41605,SwampTimothy,medium,8,33,,{C7849AA4-52DA-49E1-9143-9902216045BB},sh_length,18
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{0F138BD8-92F7-4D81-BA0A-1ECCC83BA4E3},sh_length,102
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{0F138BD8-92F7-4D81-BA0A-1ECCC83BA4E3},f2t_length,96
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{3B01B1B1-00A3-44D2-A1C0-E9829871458A},sh_length,70
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{3B01B1B1-00A3-44D2-A1C0-E9829871458A},f2t_length,53
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{9B121B66-5243-4D76-9847-62891D4537EB},sh_length,90
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{9B121B66-5243-4D76-9847-62891D4537EB},f2t_length,60
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{9BE5E854-3320-442C-B73E-F635C1FBC126},sh_length,89
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{9BE5E854-3320-442C-B73E-F635C1FBC126},f2t_length,92
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{AD725010-88D0-4560-BEAE-F42F841EC06B},sh_length,72
{01073B61-6FF4-465B-B897-B1A1FDD53532},therese_burns@fws.gov_fws,07/29/2021 20:32,35.91382217,-119.3960266,LMC,2A,,30x30cm,none,502210,Watergrass,low,34,5,,{AD725010-88D0-4560-BEAE-F42F841EC06B},f2t_length,34
