"","GlobalID","decimalLatitude","decimalLongitude","p_wg_a.Low","p_wg_b.Med","p_wg_c.High","p_st_a.Low","p_st_b.Med","p_st_c.High","p_sw_a.Low","p_sw_b.Med","p_sw_c.High","p_noFood"
"1","{0366410E-A95E-4AE3-ADCE-451541DD9E0A}",35.91283956,-119.3887387,0,0,0,0.2,0.1,0,0,0,0,0.7
"2","{06E06219-182E-4D8D-90B8-497A83E1083B}",35.90997012,-119.3832206,0,0,0,0.45,0.5,0,0,0,0,0.05
"3","{07E59259-2018-4EDF-9497-783811B0572C}",35.91063003,-119.3871779,0,0,0,0.1,0,0,0,0,0,0.9
"4","{0C91D960-048D-46BE-8579-53090C4758FA}",35.91730859,-119.3845476,0.0298507462686567,0,0,0.945273631840796,0,0,0,0,0,0.0248756218905473
"5","{0DA2FF87-E7E9-43DE-8DB3-D8D44B7F11F2}",35.91393881,-119.3983252,0,0,0,0,0,0,0,0,0,1
"6","{1C72A462-8F28-4A3C-8CFE-43A6774CC438}",35.90705078,-119.3850149,0,0,0,0,0,0,0,0,0,1
"7","{1C72A462-8F28-4A3C-8CFE-43A6774CC438}",35.90705078,-119.3850149,0,0,0,1,0,0,0,0,0,0
"8","{1CC50E2F-17EE-4654-BF60-52C3CCD82278}",35.91800794,-119.3988051,0,0,0,0.8,0,0,0,0,0,0.2
"9","{238D948C-A50B-49D1-8896-76D330FD2E75}",35.9148881,-119.4029343,0,0,0,0.05,0,0,0,0,0,0.95
"10","{23FABEE9-0F9B-44E0-BAA3-1DD59676F2E1}",35.9121488,-119.4017293,0,0,0,0.95,0,0,0,0,0,0.05
"11","{25B4277E-A13A-487C-ACCC-E7DF4C32AD13}",35.91098933,-119.3991236,0,0,0,0.9,0,0,0,0,0,0.1
"12","{2BB87D56-ADFB-455E-BF47-36681378DCC9}",35.91530847,-119.3989276,0,0,0,0,0,0,0,0,0,1
"13","{2C2ADDB7-87A7-45E2-955F-849E9DEB6997}",35.91955782,-119.3964086,0,0,0,0.904761904761905,0.0476190476190476,0,0,0,0,0.0476190476190476
"14","{2E4FF06F-249A-484D-AB88-8A8362A49D92}",35.91396929,-119.3903488,0,0,0,1,0,0,0,0,0,0
"15","{2F9B95AF-6C55-4A03-8829-B6F592CD8CAA}",35.91807837,-119.3921557,0.338983050847458,0,0,0.610169491525424,0.0338983050847458,0,0,0,0,0.0169491525423729
"16","{3865F284-2D0C-4F66-80BE-17C5C59DFDFB}",35.90816026,-119.3949325,0,0,0,0,0,0,0,0,0,1
