GlobalID,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,recordedBy,eventDate,quadratSize,managementAction,taxonID,vernacularName,stratum,plantHeight,nSeedHeads,eventRemarks,GlobalID_seed,measurementType,measurementValue,GlobalID_CP,GlobalID_VP,distanceCP_m,distanceVP_m
{9C04D07D-584C-40BE-9C45-E9EC5C4BE5AC},35.72420483,-119.6113922,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 15:16,15x15cm,none,41605,Swamp Timothy,medium,6,44,,{26CAE3BD-4C39-4FEB-A499-1175D6E19524},sh_length_mm,12,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7.713450909,109.6669922
{9C04D07D-584C-40BE-9C45-E9EC5C4BE5AC},35.72420483,-119.6113922,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 15:16,15x15cm,none,41605,Swamp Timothy,medium,6,44,,{8D5EC41E-93A6-461F-9A13-30538BDE15A5},sh_length_mm,13,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7.713450909,109.6669922
{9C04D07D-584C-40BE-9C45-E9EC5C4BE5AC},35.72420483,-119.6113922,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 15:16,15x15cm,none,41605,Swamp Timothy,medium,6,44,,{94D39CA1-1BBB-44AB-AAD1-BB22C516F153},sh_length_mm,12,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7.713450909,109.6669922
{9C04D07D-584C-40BE-9C45-E9EC5C4BE5AC},35.72420483,-119.6113922,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 15:16,15x15cm,none,41605,Swamp Timothy,medium,6,44,,{9E2F566C-7DDE-4E30-AA93-496540D8BA00},sh_length_mm,10,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7.713450909,109.6669922
{9C04D07D-584C-40BE-9C45-E9EC5C4BE5AC},35.72420483,-119.6113922,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 15:16,15x15cm,none,41605,Swamp Timothy,medium,6,44,,{E554F9D2-4318-4AF7-82E4-2161F6BAAA3A},sh_length_mm,9,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7.713450909,109.6669922
{E93C7820-5E79-4BD6-9D9E-E5E35FFB222C},35.72417667,-119.6113126,KRN,4B,4B-3,diana_k_guzman_colon@fws.gov_fws,7/27/2021 15:27,15x15cm,none,41605,Swamp Timothy,medium,3,57,Smaller seed heads,{833C3A89-9758-4368-AC39-F56D2092E89E},sh_length_mm,8,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},14.52836037,100.7396622
{E93C7820-5E79-4BD6-9D9E-E5E35FFB222C},35.72417667,-119.6113126,KRN,4B,4B-3,diana_k_guzman_colon@fws.gov_fws,7/27/2021 15:27,15x15cm,none,41605,Swamp Timothy,medium,3,57,Smaller seed heads,{9FBC07D9-235F-43C7-B9C6-28385E3E7402},sh_length_mm,9,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},14.52836037,100.7396622
{E93C7820-5E79-4BD6-9D9E-E5E35FFB222C},35.72417667,-119.6113126,KRN,4B,4B-3,diana_k_guzman_colon@fws.gov_fws,7/27/2021 15:27,15x15cm,none,41605,Swamp Timothy,medium,3,57,Smaller seed heads,{9FBC07D9-235F-43C7-B9C6-28385E3E7402},sh_length_mm,7,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},14.52836037,100.7396622
{E93C7820-5E79-4BD6-9D9E-E5E35FFB222C},35.72417667,-119.6113126,KRN,4B,4B-3,diana_k_guzman_colon@fws.gov_fws,7/27/2021 15:27,15x15cm,none,41605,Swamp Timothy,medium,3,57,Smaller seed heads,{A9F793C1-0621-4B2B-8659-F240D709697E},sh_length_mm,5,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},14.52836037,100.7396622
{E93C7820-5E79-4BD6-9D9E-E5E35FFB222C},35.72417667,-119.6113126,KRN,4B,4B-3,diana_k_guzman_colon@fws.gov_fws,7/27/2021 15:27,15x15cm,none,41605,Swamp Timothy,medium,3,57,Smaller seed heads,{A9F793C1-0621-4B2B-8659-F240D709697E},sh_length_mm,9,{23FC7807-DD87-4E5D-8B83-B26FDE90551A},{BA48DBBC-5C39-4046-B048-4361E8CDD34D},14.52836037,100.7396622
