GlobalID,unitName,subunitName,recordedBy,taxonID,vernacularName,measurementType,measurementValue,nSeedHeads
{0E596125-2E14-45CF-B207-932F431270A6},Lewis 1,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,35,1
{1185544C-4D4A-494D-BFAB-1BCB6BE94B93},Lewis 6,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,20,5
{1185544C-4D4A-494D-BFAB-1BCB6BE94B93},Lewis 6,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,5,5
{1185544C-4D4A-494D-BFAB-1BCB6BE94B93},Lewis 6,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,45,5
{1185544C-4D4A-494D-BFAB-1BCB6BE94B93},Lewis 6,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,22,5
{1185544C-4D4A-494D-BFAB-1BCB6BE94B93},Lewis 6,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,16,5
{1459243A-E24F-4363-8B82-0CC3378E4FE0},Lewis 6,22,matthew_falcon@fws.gov_fws,823756,Smartweed,f2t_length_mm,16,15
{1459243A-E24F-4363-8B82-0CC3378E4FE0},Lewis 6,22,matthew_falcon@fws.gov_fws,823756,Smartweed,f2t_length_mm,26,15
{1459243A-E24F-4363-8B82-0CC3378E4FE0},Lewis 6,22,matthew_falcon@fws.gov_fws,823756,Smartweed,f2t_length_mm,32,15
{1459243A-E24F-4363-8B82-0CC3378E4FE0},Lewis 6,22,matthew_falcon@fws.gov_fws,823756,Smartweed,f2t_length_mm,13,15
{1459243A-E24F-4363-8B82-0CC3378E4FE0},Lewis 6,22,matthew_falcon@fws.gov_fws,823756,Smartweed,f2t_length_mm,17,15
{1A1D4D04-5B53-4ABC-8E6A-467CD498D75A},Lewis 1,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,42,11
{1A1D4D04-5B53-4ABC-8E6A-467CD498D75A},Lewis 1,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,13,11
{1A1D4D04-5B53-4ABC-8E6A-467CD498D75A},Lewis 1,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,34,11
{1A1D4D04-5B53-4ABC-8E6A-467CD498D75A},Lewis 1,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,26,11
{1A1D4D04-5B53-4ABC-8E6A-467CD498D75A},Lewis 1,22,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,31,11
{34ACDA1F-A3BA-419F-81F0-8384C1A99B58},HQ-7,27a,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,72,14
{34ACDA1F-A3BA-419F-81F0-8384C1A99B58},HQ-7,27a,rebeca_becdach@fws.gov_fws,823756,Smartweed,f2t_length_mm,99,14
