GlobalID,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,recordedBy,eventDate,areaVisible_ac,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},35.72384762,-119.6102661,KRN,4B,4B-3,kathryn_heffernan@fws.gov_fws,7/27/2021 15:47,0.435125969,,NA,Other cover,NA,0.05
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},35.72384762,-119.6102661,KRN,4B,4B-3,kathryn_heffernan@fws.gov_fws,7/27/2021 15:47,0.435125969,,41605,Swamp Timothy,low,0.15
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},35.72384762,-119.6102661,KRN,4B,4B-3,kathryn_heffernan@fws.gov_fws,7/27/2021 15:47,0.435125969,,41605,Swamp Timothy,medium,0.2
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},35.72384762,-119.6102661,KRN,4B,4B-3,kathryn_heffernan@fws.gov_fws,7/27/2021 15:47,0.435125969,,41605,Swamp Timothy,high,0.6
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},35.72160337,-119.6118411,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 16:48,0.656331519,,502210,Watergrass,low,0.01
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},35.72160337,-119.6118411,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 16:48,0.656331519,,823756,Smartweed,low,0.01
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},35.72160337,-119.6118411,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 16:48,0.656331519,,41605,Swamp Timothy,medium,0.05
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},35.72160337,-119.6118411,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 16:48,0.656331519,,41605,Swamp Timothy,low,0.05
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},35.72160337,-119.6118411,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 16:48,0.656331519,,NA,Other cover,NA,0.2
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},35.72160337,-119.6118411,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 16:48,0.656331519,,41605,Swamp Timothy,high,0.7
{18E2334F-9847-4FBB-9008-F602A82A0E0B},35.72147689,-119.6128354,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 17:12,3.415700887,,41605,Swamp Timothy,high,0.1
{18E2334F-9847-4FBB-9008-F602A82A0E0B},35.72147689,-119.6128354,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 17:12,3.415700887,,41605,Swamp Timothy,low,0.1
{18E2334F-9847-4FBB-9008-F602A82A0E0B},35.72147689,-119.6128354,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 17:12,3.415700887,,NA,Other cover,NA,0.25
{18E2334F-9847-4FBB-9008-F602A82A0E0B},35.72147689,-119.6128354,KRN,4B,4B-3,rebeca_becdach@fws.gov_fws,7/27/2021 17:12,3.415700887,,41605,Swamp Timothy,medium,0.6
{1D282129-7A85-4C2E-B2FB-3E6CB7ED1938},35.72044051,-119.6137215,KRN,4B,4B-4,therese_burns@fws.gov_fws,7/27/2021 18:10,1.087649284,,502210,Watergrass,low,0.01
